,PARKNAME,area_sqkm
1,Dry Tortugas,322.6821204
2,Bryce Canyon,232.305571
3,Yellowstone,17557.09158
4,Sequoia,2553.244942
5,Mammoth Cave,330.3118276
6,Great Basin,515.9010359
7,Canyonlands,2196.490657
8,Biscayne,867.0638575
9,Guadalupe Mountains,491.4473981
10,Gateway Arch,1.290994125
11,Kings Canyon,2909.305718
12,Capitol Reef,1605.718361
13,Pinnacles,167.5456464
14,Lassen Volcanic,753.0976535
15,Mount Rainier,2045.641242
16,Yosemite,4849.245259
17,Wind Cave,261.7274273
18,North Cascades,4656.124607
19,Voyageurs,1884.045708
20,Congaree,155.1320484
21,Carlsbad Caverns,264.9143381
22,Zion,952.7186983
23,Theodore Roosevelt,616.8475386
24,Crater Lake,1379.224002
25,Glacier,9351.571347
26,Grand Teton,2410.496679
27,Great Sand Dunes,698.0468495
28,Black Canyon of the Gunnison,207.0943077
29,Big Bend,4329.893757
30,Arches,509.0810471
31,Grand Canyon,7487.847409
32,Cuyahoga Valley,234.5277455
33,Joshua Tree,4698.082883
34,Everglades,7625.863021
35,Badlands,1879.080612
36,Petrified Forest,1347.313174
37,Olympic,8203.590772
38,Redwood,1011.699122
39,Shenandoah,1309.300933
40,Acadia,274.7793102
41,Great Smoky Mountains,3178.103337
42,Isle Royale,4985.802199
43,White Sands,850.9779976
44,Death Valley,21544.23499
45,Indiana Dunes,115.4877264
46,Hot Springs,32.61277428
47,Channel Islands,1449.812256
48,Mesa Verde,343.4227642
49,Rocky Mountain,1863.019155
50,Saguaro,530.5859437
